id,prospect_id,first_name,last_name,position_group_abbreviation,stars,url,prospect_url,height,weight,verified_height,verified_weight,committed_college_name,committed_college_logo,hometown,full_name,highschool_name,recruiters_string,previous_commit_data,height_feet,height_inches,images,announcement_date,can_forecast,going_pro,city,highschool,sport,state,state_abbreviation,home_info_line,position,rivals_rating,sport_school_id,school_name,commit_date,big_commit_logo,position_abbreviation,school_commits_url,recruit_year,profile_image_url,profile_shareable_image_url,status,spotlight_video_remote,spotlight_video_provider,ordinality
256788,256788,Rueben,Owens II,RB,4,https://n.rivals.com/content/prospects/2023/rueben-owens-ii-256788,https://n.rivals.com/content/prospects/2023/rueben-owens-ii-256788,72.0,200,,,Louisville,https://s.yimg.com/cv/ae/default/170623/Louisville-Cardinals_DARK_300.png,"El Campo, TX",Rueben Owens II,El Campo,,,6,0,"['https://images.rivals.com/image/upload/f_auto,q_auto/by7kh8lofnkxd3excc6y', 'https://images.rivals.com/image/upload/f_auto,q_auto/nctzuera35gtko8dmmoj', 'https://images.rivals.com/image/upload/f_auto,q_auto/a7cvy1idms9qiu2kxnhk']",,False,,El Campo,El Campo,Football,Texas,TX,"El Campo, TX",All Purpose Back,6.0,100.0,Louisville,6/20/2022,https://s.yimg.com/cv/ae/default/170623/Louisville-Cardinals_DARK_300.png,APB,https://louisville.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/p3bzp7xfgombbrzkbm0v","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/p3bzp7xfgombbrzkbm0v",verbal,video/3/8277239/5fbdcbcf2aa68e011c5fec61,hudl,1
272532,272532,Tre,Wisner,RB,4,https://n.rivals.com/content/prospects/2023/tre-wisner-272532,https://n.rivals.com/content/prospects/2023/tre-wisner-272532,72.0,180,,,Texas,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/tth.png,"DeSoto, TX",Tre Wisner,DeSoto,T. Choice,,6,0,"['https://images.rivals.com/image/upload/f_auto,q_auto/ancqgt47ohkcfou4erus', 'https://images.rivals.com/image/upload/f_auto,q_auto/v4cmhiaplbfbiw9lqgpq', 'https://images.rivals.com/image/upload/f_auto,q_auto/hyrqrvnwhinu1nexvkhu']",,False,,DeSoto,DeSoto,Football,Texas,TX,"DeSoto, TX",All Purpose Back,5.8,83.0,Texas,4/23/2022,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/tth.png,APB,https://texas.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/ikmrbjbrarzup5qp1vwf","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/ikmrbjbrarzup5qp1vwf",verbal,video/3/13441236/6148a402bee0f50b88a43227,hudl,4
257345,257345,Sergio,Snider,RB,3,https://n.rivals.com/content/prospects/2023/sergio-snider-257345,https://n.rivals.com/content/prospects/2023/sergio-snider-257345,71.0,180,,,,,"Arlington , TX",Sergio Snider,Martin,,,5,11,[],,True,,Arlington ,Martin,Football,Texas,TX,"Arlington , TX",All Purpose Back,5.7,,,,,APB,,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/njeuqt74fmrze1amsgy0","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/njeuqt74fmrze1amsgy0",undecided,video/3/15988284/61b92eb87bddc20c18df6f8f,hudl,16
271936,271936,Kalib,Hicks,RB,3,https://n.rivals.com/content/prospects/2023/kalib-hicks-271936,https://n.rivals.com/content/prospects/2023/kalib-hicks-271936,72.0,200,,,Oklahoma,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/ooc.png,"Denton, TX",Kalib Hicks,Ryan,D. Murray,,6,0,"['https://images.rivals.com/image/upload/f_auto,q_auto/llfuo99hvhmzjkt2ma8r', 'https://images.rivals.com/image/upload/f_auto,q_auto/yj1us5539her6rv7zozi', 'https://images.rivals.com/image/upload/f_auto,q_auto/vno5kqggoezqa7wprdn3']",,False,,Denton,Ryan,Football,Texas,TX,"Denton, TX",All Purpose Back,5.7,24.0,Oklahoma,6/15/2022,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/ooc.png,APB,https://oklahoma.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/xytzjnm2r0l0dziugeo0","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/xytzjnm2r0l0dziugeo0",verbal,video/3/10047934/6166ea914df56f118490b853,hudl,12
271270,271270,Trey,Holly,RB,4,https://n.rivals.com/content/prospects/2023/trey-holly-271270,https://n.rivals.com/content/prospects/2023/trey-holly-271270,68.0,195,,,Louisiana State,https://s.yimg.com/dh/ap/default/151102/LSU-300.png,"Farmerville, LA",Trey Holly,Union Parish,,,5,8,"['https://images.rivals.com/image/upload/f_auto,q_auto/swysdhi6srqpweovlumh', 'https://images.rivals.com/image/upload/f_auto,q_auto/v96cpiiyukdl77irb7bb', 'https://images.rivals.com/image/upload/f_auto,q_auto/gef6ckxcwsgn3v241jxk']",,False,,Farmerville,Union Parish,Football,Louisiana,LA,"Farmerville, LA",All Purpose Back,5.8,76.0,Louisiana State,5/15/2022,https://s.yimg.com/dh/ap/default/151102/LSU-300.png,APB,https://LSU.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/nk23i1lylair01ghep57","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/nk23i1lylair01ghep57",verbal,video/3/11585450/5f966f796e8c040bf8e49bc1,hudl,5
210979,210979,Treyaun,Webb,RB,4,https://n.rivals.com/content/prospects/2023/treyaun-webb-210979,https://n.rivals.com/content/prospects/2023/treyaun-webb-210979,73.0,205,,,Florida,https://sp.yimg.com/j/assets/ipt/florida_300.png,"Jacksonville, FL",Treyaun Webb,Trinity Christian School,,,6,1,"['https://images.rivals.com/image/upload/f_auto,q_auto/fbk7pkoh4lmoj5mjseab', 'https://images.rivals.com/image/upload/f_auto,q_auto/bcz7ppqjozvlqykfi5n5', 'https://images.rivals.com/image/upload/f_auto,q_auto/thjkpn3fjtojvhh0hszm']",,False,,Jacksonville,Trinity Christian School,Football,Florida,FL,"Jacksonville, FL",All Purpose Back,5.9,67.0,Florida,7/7/2022,https://sp.yimg.com/j/assets/ipt/florida_300.png,APB,https://Florida.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/y4egquxezlpuzpmjof5t","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/y4egquxezlpuzpmjof5t",verbal,video/3/11406463/61b8bfb14bb28808689d9ce8,hudl,2
274497,274497,LJt,Martin,RB,3,https://n.rivals.com/content/prospects/2023/lj-martin-274497,https://n.rivals.com/content/prospects/2023/lj-martin-274497,74.0,205,False,False,Stanford,https://s.yimg.com/cv/ae/default/170616/Stanford-Cardinal_300.png,"El Paso, TX",LJt Martin,Canutillo,,,6,2,"['https://images.rivals.com/image/upload/f_auto,q_auto/rxffps12q5k7ck6iptvu', 'https://images.rivals.com/image/upload/f_auto,q_auto/unudqyhhgqyemgnpgbkq', 'https://images.rivals.com/image/upload/f_auto,q_auto/wqb0zm435v9bklhe66x4']",,False,,El Paso,Canutillo,Football,Texas,TX,"El Paso, TX",All Purpose Back,5.7,63.0,Stanford,6/28/2022,https://s.yimg.com/cv/ae/default/170616/Stanford-Cardinal_300.png,APB,https://stanford.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/vgb8t2dsoajl6sxkuozb","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/vgb8t2dsoajl6sxkuozb",verbal,video/3/13603058/615a55a39681560aa0f192f1,hudl,14
245349,245349,Re'Shaun,Sanford II,RB,3,https://n.rivals.com/content/prospects/2023/re-shaun-sanford-ii-245349,https://n.rivals.com/content/prospects/2023/re-shaun-sanford-ii-245349,69.0,173,,,Houston,https://s.yimg.com/cv/ae/default/170612/Houston-Cougars_300.png,"Harker Heights, TX",Re'Shaun Sanford II,Harker Heights,,,5,9,[],,False,,Harker Heights,Harker Heights,Football,Texas,TX,"Harker Heights, TX",All Purpose Back,5.7,80.0,Houston,6/28/2022,https://s.yimg.com/cv/ae/default/170612/Houston-Cougars_300.png,APB,https://houston.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/scjxd1lcdz2yg9wfvnzt","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/scjxd1lcdz2yg9wfvnzt",verbal,video/3/13294741/61914e89b3d3600a389e0f20,hudl,17
266395,266395,Ryant,Bullard,RB,4,https://n.rivals.com/content/prospects/2023/ryan-bullard-266395,https://n.rivals.com/content/prospects/2023/ryan-bullard-266395,69.0,175,True,True,,,"Miami, FL",Ryant Bullard,Killian,,,5,9,"['https://images.rivals.com/image/upload/f_auto,q_auto/zefdg20n86cmsfzmqmss', 'https://images.rivals.com/image/upload/f_auto,q_auto/cvn6lbqslum6drvlnrfb', 'https://images.rivals.com/image/upload/f_auto,q_auto/rnwuteh2yy8aot4gj3a3']",,True,,Miami,Killian,Football,Florida,FL,"Miami, FL",All Purpose Back,5.8,,,,,APB,,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/yhrbifc8vungdw26glsh","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/yhrbifc8vungdw26glsh",undecided,video/3/12879418/5fe94c83ff02381028d699e7,hudl,7
269357,269357,Allen,Mitchell,RB,3,https://n.rivals.com/content/prospects/2023/allen-mitchell-269357,https://n.rivals.com/content/prospects/2023/allen-mitchell-269357,71.0,181,True,True,,,"St. Louis, MO",Allen Mitchell,Lutheran Of St Charles,,,5,11,"['https://images.rivals.com/image/upload/f_auto,q_auto/yj5dfxl7ox44hczrf7ft', 'https://images.rivals.com/image/upload/f_auto,q_auto/hqp6e5bwp8ldmgknafqb', 'https://images.rivals.com/image/upload/f_auto,q_auto/ac12hsvwtwbrvusmlau8']",,True,,St. Louis,Lutheran Of St Charles,Football,Missouri,MO,"St. Louis, MO",All Purpose Back,5.7,,,,,APB,,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/rtuzs2rcrj71t19dwsjf","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/rtuzs2rcrj71t19dwsjf",undecided,video/3/12850769/61a798b77bd3410344471eed,hudl,15
